,neg_words,count,documents
30,포기,51,"['오스트리아방문에 따른획기적인 성과에 대한 보도는생까고인간이 길포기한폐기물집단의애송이 가벌인따릉이쇼로도배한포탈및기더기들을 이번 기회에싸그리공중분해시켜야 한다.', '임은정검사님축하드립니다 마음같아서 는 검찰총장인데아쉽지만 끝까지 포기하지 마시고 정치검사들과적폐언론들을반드시척결해서 국민들에한을풀어주십시요', '여성징병제할 수가 없지미래의 여자표를다포기해야 하는데 n그냥민주당은 야당하는 게 맞는 거같다.과반수 이상의석으로 해내는 게단하나도 없네']"
31,눈물,50,"['저번주알면서도금욜얼마나허전하던 지요.김어준총수쉬지도몬하고 바로열일하는 모습에 눈물이 나면서도넘고맙습니다 n미리좋아요 꾸욱누르고 대기중입니다 왜?좋을꺼니까', '십원파니들은천벌을 받을꺼야n자식대까지천벌을 받을꺼니깐기다려라n니들자식이천벌받는걸니들눈으로꼭봐라n니눈에서 피눈물흘려봐야남의 눈에서 눈물안흘리게 하지', '이재정 의원님 말씀잘하셨습니다.정말눈물납니다.정책적으로 나정치적으로 나홀대받는다는 느낌을지울수가 없습니다.위아래로치입니다.ㅠㅠ']"
32,욕심,49,"['현 정권서누릴권력다누리고 또 무슨권력을쥐어보겠다 고끝없는욕심에명예고뭐고욕심들이똥창까지 가득 차서국민들을힘들게 하는 수구꼴통편그놈들지들욕심때문에 배신때리는놈들부끄러운줄알아야지', '자기욕심이 만들어낸자기음성을 듣고 그것이하니님뜻이라고떠드는겁니다 이런 사람들교회에많습니다 대표적인 사람이전광훈이죠저도하나님음성을듣던사람인데거의다마귀의속삭임입니다', '최재형은신의 이름을망령되게들먹이네요자신의 욕심을신의 이름으로 포장을원전이 그렇게 중요하다 면태초부터 신이 지었겠지요적그리스도인극우바리세인의표본입니다.']"
33,가짜,48,"['검찰개혁언론개혁.언론사들.가짜뉴스악이적인 보도허이보도징벌적손혜배상입법하고 농락하는 언론기레기들.모조리박멸국가기강을바로잡아주십시요검수완박검수분리우리가 조국이다 우리가 이긴다', '대한민국만세n문재인데통령님연임갑시다 미국에는 아직도가짜뉴스를누가만들어내는 지잡아보고 싶네요.n이민자끼리이간질시키는적폐도망자가 아닐까n적폐도망자들을 잡는 건지', '정치하는 곳에도하나님이계시를주었을까?하나님의 능력이그정도밖에는 안된다는 말인가?n종교를팔아먹는저급한가짜종교인들때문에 많은신자가욕먹고 있다.n진정한목자']"
34,악마,46,"['하나님.개소리 하늘은있어도 하나님은본래없는 것이다악마들.그러니까 지금의이스라엘악마가만들어낸이야기일뿐하나님이 있다면팔레스타인 사람들을 지금 저대로 그냥두진않았을 것', '조국의 시간.다보았습니다n보다 가.울컥.울컥수없이했어요n얼마나.사람이.사악하면.그리할까요n인두껍쓴.악마들입니다n조국장관님.소송승소하십시요n늘.건강챙기세요사랑합니다', '우파삼촌김기환이란사람이 병원앞에서 17번이나집회를 하며 조민양그만두라고협박했다 네요.n얼마나 힘들었을까요?n병원내사람들눈치도봐야 하고.n정말악마들이 너무 많다.']"
35,부족,45,"['민주당심기일전하여 다시뜁시다.n이제8개월 후면문재인데통령도사저로내려가시고후임이오실텐대깨어있는 시민이 나라를 지킵시다.n민주당이 조금부족하다고 국짐당을 지지할 수는 없는 일입니다.', '모집공고에나이기준이 있을 때내나이가 해당 이안 된다면 아쉽지만 도전을안한다 정말 아쉬워서전활하면 안 된다 한다 이준석대표반성하라부끄러운줄알아야지금수저로태어난 것도부족했는가', '유52.2민주진영은늘부족한숫자였습니다.n대선에선적폐들이 분열될때만이길 수 있습니다.그러나 지금적폐들이 분열될가능성은 낮고 따라서 민주진영도열린민주당']"
36,걸리다,45,"['홍남기는 극우다어차피극우로갈사람이다 윤짜장최재형과같은 부류다짤라라잘못뽑은인사는 과감히쳐내라국민들암걸리겠다n하는짓마다정부발목 잡는짓하는 거보면모르겠나?n콘크리트깨는중이다', '이제파렴치안한동훈핸드폰오픈할 수 있나요?징하게 오래 걸리네요한동훈핸드폰에엄청난공작비밀들이 가득할거같아요빨리오픈하세요 이걸또덮으면뎦는자는 또 다른범죄를 저지르는 겁니다', '하다 하다 대통령까지 날로먹을라꼬칼갈았는디.한여름밤꿈꾸고 나니그칼내목줄에걸렸드라고.으이윤봉길기념관판토마임가야 하는 디?.클난네정신나서 보니나는학교 년각이네']"
37,안타깝다,44,"['김어준총수윤석렬에대한 의혹에 대해서조심스러워보이는 게안타깝습니다.n윤석렬에게약점을잡힌게아니라총알을 모으고 있는 것이길바랍니다.n진보정권의 지속에김어준총수라는 스피커가꼭필요합니다.', '이낙연이쥐닭이사면하잔말하기 전까진지지했었죠 사면하자했을 때 이작자는 배신자라는 생각이 들었죠 안타깝네요 이낙연은깜이아닙니다 정세균도마찬가지 이재명추미애 화이팅', '줄리하고둘리하고 집구석에서 각방쓰면서 이야기도않하나봐.n줄리가인터뷰하는 걸둘리가몰랐다는 게 사실이냐? n황당하다.줄리야.줄리를줄리라불리우지 못해n안타깝냐?']"
38,망신,42,"['광재씨사람은 무엇이 되는 것보다 어덯게사는야가중요하다고 봅니다 고향망신시키지 말고 정치그만두시고반성하고 사세요민주당 대통령 후보는 이재명지사여야승리한다고 믿어의심치 않읍니다', '참한심합니다n저들이망신당했다고 생각하는 줄아시네n틀리던맞던던지고 보는 거고그걸로n부정적인 이미지만심어주면된다고 생각하는 인간들입니다n저들에게팩트는 중요하지 않아요', '10원짜리마누라가너무너무똑똑하구나똑똑해서낭군출세길가로막는구나정대택님의주장대로라면영부인꿈도꾸어서는 안 되는 일이지글로벌세상에 망신이니까']"
39,무시,42,"['박성민발탁은나도좀아닌거같지만 정상근동지의의견을 듣고 보니맞는말이네.늘공과어공의차이를 무시하고 그냥마구까는거.김엄마의 생각에도동의하지만 이점에 있어선정상근동지의의견이 맞다고봄.', 'n3배5배조중동이웃어요.n윤십엔무시하면 큰일납니다.제3의쥐박이닭그네가될 수도 있습니다.n전국민재난지원금cctv설치반드시 해결해야 합니다.', '핸드폰변경이 문제그때우린폰가게가해주는 데로햏음그때얘들이뭔가내가 모르는kt에서엘지로또반대로우린폰시작할 때우린몰라뜨는게무시워']"
