사바사,Noun
0개국어,Noun
덕페이스,Noun
와우내,Adverb
워라밸,Noun
스라밸,Noun
꼰대,Noun
꼰대가르송,Noun
법블레스유,Verb
엄근진,Adjective
나일리지,Noun
고인물,Noun
옴뇸뇸,Adverb
도랏,Verb
맥세권,Noun
다세권,Noun
팬아저,Noun
빌런,Noun
성덕,Noun
띵언,Noun
할많하않,Verb
세젤예,Adjective
현타,Noun
케바케,Noun
아삽,Noun
혼바비언,Noun
철아따,Noun
톤그로,Noun
반모,Noun
설참,Noun
미방,Noun
가심비,Noun
낄낄빠빠,Verb
댓망진창,Noun
무지개매너,Noun
시강,Noun
쉼포족,Noun
퇴준생,Noun
파덜어택,Verb
엄크리,Noun
딩크,Noun
플렉스,Noun
스웩,Noun
스웨거,Noun
사전예약,Noun
코로나19,Noun
코로나바이러스,Noun
신종코로나바이러스,Noun
더불어민주당,Noun
더민주,Noun
새누리당,Noun
새누리,Noun
필리버스터,Noun
사전투표,Noun
대선판,Noun
