,neg_words,count,documents
30,지겹다,31,"['문재앙과 더듬고만진당의 정치공작.지겹다.부정.비리우기기.선동 .지겹다.많이 쫄리나보다.대선 얼마 안남았다.야당에 돌덩어리가 후보로 나와도찍는다.더듬당은 무조건 패스.두고봐라', 'x파일로 윤석열을 없앨려고 벼루는 것 같은데 윤석열이 외계인이 여도 너희들 안 뽑고 윤석열 뽑을거야. 내로남불 아마추어 정권 지겹다.', '이재명이랑 윤석열 허경영 3강으로 대통령선거하자 이3명다 전라도 경상도 아니지? 두 지역 출신 선거판에 나오지 마라 하우는거 지겹다']"
31,구라,31,"['구라미터 ars 응답방식 구식여론조사 어르신 응답률로 여론조사하냐 시장에서 퇴출시켜라 100 무선 전화면접이 대세다 구라미터 이택수 나이도 젊은데 올드한 인간일세 돈벌이용이 지.', '이런 구라미터을 누가 믿냐?다음 대선및지선 부정선거 하려고 밑밥 까는게 보인다.영저철 복귀하는 거 보면서 지금부터라도 국민들은 매의 눈으로 감시해야 한다.', '베트남송 몇달 전부터 지입으로 윤석열에 대해서 차고차곡 쌓아가고 있다 고 노래부름.그리고 x파일 나옴.베트남송 갑자기 야당이 만든었다고 뻔뻔하게 구라치네.']"
32,걸리다,31,"['돼지홍발정 홍준표 막말충 길거리눕기 등원거부 빠루폭력 으로 탄핵자한당 해체해산 밀알이 다 적폐청산 개혁 20년 이상 걸린다 민주당 20년 쭈욱 해야 새나라 대한민국 새출발 된다', '더블어도랐당 임자 만났네보수당을 평생 선거공작해서 괴롭히고 당선도 하고 그러더니 윤석열에게 제대로 걸렸네 역쉬 똥막대기들은 끼리끼리 싸워야 하는 법 막나니 윤썩열 잘한다', '뭔소리여 송영길이 윤석열x파일 차곡차곡 쌓고 있다 고 했는데 없다고 하니 치매걸렸나 헛소리하게 이제 윤석열에 한마디도 의혹 제기 못하겠네 어디 믿어보자']"
33,망치다,30,"['윤석열도 대권잡으면 문재인 잡배들은 시원하게 패줄거같긴 한데 재앙이가 망쳐놓은 정치외교안보 지금 시국에 전문성있고 정치내공 높은 홍준표가 되는 게 나아보인다', '쩝쩝이 라인에서 대선 나올 만 한 인물이 없으니 쪼르르 죄명리에게 옮겨가 지지하는 멍청한 대깨들이 아직도 20프로가 넘는구나. 나라 망치는 원흉들.', '윤가가 멀 안다 고 대통령을 한다 고. . 뜰똭들이 대한민국을 완전히 망치는 건 그렇다 치고 젊은애들까지 부화뇌동 하니. .']"
34,흘리다,29,"['멍청한건지 순수한 지는 모르겄다만 내년 대선은 이재명이 되겄다 하는꼬라지 보니 지들이 흘리고 지들끼리 계파투쟁하면서 송영길은 왜? 어찌나구린지 대선 출마 선언도 못하는 쪼다주제에', '떠블로 풍신당들 책임이나 지시지 일찍부터 음모론 냄새 풍기고 모자란 장성철에 슬쩍 흘려 떠벌리게 해 놓고 야당 발이라 국민이 아직도 개돼지로 보이냐?송트남은 수사나 열심히 받아라', '철수보다 더 가속하네 검증 피해가려면 국회의원부터 시작해서 경력으로 넘기고 대선 꿈 꿔야지 저파일 야당서 흘린듯 대권주자들이 많은데 검찰 조직신입한테 주겠냐 결국 황교환뿐이네']"
35,싸움,28,"['더럽다파일을 차곡차곡 모으고 있네 마네 바람잡고 간보더니 역풍되어 불리하게 될 것 같아 야권 싸움부치고 빠지는꼴봐니들은 펑생 야당으로 논평만 내고 장외 운동이 제격이다', '윤석렬은 집에 가서 마누라하고 장모 잘 보살피면 되고 이제 홍준표와 유승민의 싸움이 되겠구나 주인을 무는 개들이야 어차피 토사구팽 될거고 판이 훤히 보이는구만', '송영길이가 파일을 차곡차곡 쌓고 있다 더니 불법 사찰을 했나보다.야비하게 야당 대권주자끼리 이간질로 싸움을 붙히려 하지만 그수에 속을 사람이 몇명이나 되겠나?']"
36,부끄럽다,27,"['대한민국 새로운 리더십이 필요합니다.공정과 상식이 통하는 대한민국 미래를 만들어야 자손만대에 부끄럽지 않습니다.윤석열 응원하고 싶습니다 김대업2에는 관심 없습니다.', '더러운 문재인아. 독재정권때하던 정치공작을 그대로 재현하고 있구나. 구역질나는 독재자넘아. 부끄러운줄 알아라. 국가조직으로 뒤조사하는 하는 쓰레기 독재자.', '어디 정치검찰 출신 따위가 윤의사 후광을 보려고 . 이 얼마나 파렴치한 짓인가. 이런 사람이 대선후보가 되는 이 나라 정치계는 진정 부끄러운 줄 알아야.']"
37,포기,27,"['석열아 장모 마누라 잘못이 있더라도 너는 책임이 없다. 대권 포기 할 사유가 아니다.그런데 검찰청장 시절 그들의 잘못을 수사하고 기소하지 않았다면 중대한 직무유기가 될 것 같다.', '춘장님 께서 스스로 깊은 늪으로 들어가고 있네 아주좋아 짜장께서는 반드시 대통령이 되는걸 확신한다 단 9 수를 한다면 충분히 가능하다 제발 중도 포기하지 마시고 뜻을 이루소서', '화근 덩어리을 왜 복당시키냐? 국힘 내년 대선은 끝났네. 저런 자충수을 두는건 내년 대선을 포기하겠다는 것. 벌써 윤석열이 을 공격하는 거 봐라. .']"
38,추하다,27,"['더듬당 너희들이 설치면 설칠수록 시장 보궐선거 꼴 난다는 거 명심하시오 더이상 추한꼴 보이지 말고 혹 엑스 파일이 맞다고 해도 난 야당입니다. 너희가 너무 치가 떨려서', '추하다 추해 온갖 좋은말은 다끌어 쓰면서 하는짓은 최악의 행동만 하는군', '애초에 그런 게 존재하지 않으니깐 못보는 거겠지 추할매 늙어가지고 왤케 추한 짓만 하냐?? 나이 먹고 욕심 과하면 치매온다 할망구야']"
39,없애다,26,"['네거티브선거는 앞으로 절대 없애야 한다 비젼을말하고 국민에게 자기의 정치철학을 주장해야지 믿도끝도없는 소리를 흐려서 아니면 말고식의 정치꾼들 앞으로는 퇴출해야 한다', '파일 있다고 떠들때는 언제고 시끄러워지니 없앤다고 하냐? 김무성이하고 박지원 이하고 싸바싸바 했다는 거 국민들 대부분 알고 있다.김무성이 한테 이런 거 배웠냐?', '1. x파일이라는 실체도 없는 것 만들어서 대단한 흠인 것처럼 기사화 2. 진짜 흠이라면 당장 공개해서 대선 유력 주자를 없애야지 왜 그냥 두고 있겠냐?']"
