,pos_words,count,documents
32,품격,12,"['추미애님의깊은뜻과진정성이n느껴지네요잔꾀안부리고 정의롭고 공정하게 법치안에서n품격 있는 나라n사람이돈이나땅보다n높은 사회를 꿈꾸고만들어내시겠다는 각오의말씀n마음이뭔가가채워지는듯합니다', '이재명지사출정식에품격이무엇이고 대선 출정식정도는컨닝안해도확고한신념과목표하고자 하는 생각을다녹여서연설하는 걸 보고 누가 대통령감인지 모든 사람이알것이다', '조국잡아다청와대에꼭안힙시다.이명박에게 문재인데통령이품격 있게대한 적이 있었죠.결국 대통령되심']"
33,도와주다,11,"['반대되는 이야기좀올릴께무슨 말이냐면요홍남기을퇴출안시키면요국민의암당을도와주는 겁니다 두고보십시요그리고 민주당 의원들차기 정권안빼았길려면앞으로 정신바짝차리세요', '꽃뱀국모도전기. xa0xa0동서들이 도와주면되겠네.멧되지동서들모여라', '손혜원고모님이재명지사님좀도와주세요.']"
34,용기,11,"['부끄러움모르는짐승만도못한내로남불을배워서뭐하게 요.무식하면용감하다 고.무식해져야 하나.민주당사람들이 배워야할건불의에맞서는배짱과용기.', '진짜눈물난다.영화로 만들어야 된다.이건책으로 만으로 안된다.n용기 있고 의식있는 영화감독이 영화 한편만들어졌으며좋겠네요.진짜', '희두씨얼마 전에무죄선고받은거우선축하해요n설마.저쪽에서.항소는안하겟죠??암튼우리젊은희두씨.그용기에 박수를 보냅니다']"
35,감동,11,"['오늘 이재명지사님유튭으로 출마 선언n했어요못보신분들은꼭보세요n네번보고네번울었어요넘감동 n진영을떠나모두의 지지를 받을 수 있는n완벽한출마 선언이에요 u200d 3', '윤서방깜이나 되나n출마 선언하는꼬라지하고는n미래도없고비젼도없고 국민도없고 따뜻함은더없고감동이 없어n댓다고 마윤석렬n농사나지으소', '우리의느티나무 같은커다란인물을앞에서뵙게되어감동입니다.n뒤에서 열열히응원하겠습니다.n대통령이 되시길기원합니다']"
36,바르다,10,"['기더기들전부징벌적손해배상시키는수밖에도리가 없다.아직도조국펀드인줄아는 사람한둘이아니다.전국민이다 아는 날까지저기더기들전부뼈를발라야 한다.', '본인은 얼마나높은 청렴함과바른 인식을 가지고 사는 지정말 궁금했어요.평생을자숙하며 다시는 나오지말기를 바랍니다.부끄러운줄은아시겠죠?', '민주당.또망할려고작정을 하네요.n180석밀어주면 좋은 정치할거라믿었건만.지들욕심에똥볼만차고 있으니.n바른정치하는몇몇국회의원']"
37,축하,10,"['임은정검사님감찰담당관되심축하합니다 많이 힘드실것입니다 그동안 국민이힘든부분들하나씩해결하시라믿습니다응원합니다 조민쌤미안합니다 그심정아희두님응원합니다몸조심하세요', '희두씨얼마 전에무죄선고받은거우선축하해요n설마.저쪽에서.항소는안하겟죠??암튼우리젊은희두씨.그용기에 박수를 보냅니다', '윤십원은 개판당대통령이 다n학이는 국무총리n병우는비서실장이다n축하합니다n검개판이네']"
38,성공,10,"['댓글읽어주는 기자들이란kbs최근프로그램의홍사훈기자님의리포트에 귀를 기울여주시면윤씨의 비호아레이루어진김건희와최은순의주가조작성공?실패?스토리의진전을 경청하실 수 있습니다.', '백 프로완벽한 정권이 과연있을까.문재인정권은 80프로는 성공한 정권이라고 본다.20프로의미흡한 부분도언론의 왜곡과검찰', '야윤십원부부는 대선 출마가아니고 강남한복판에룸싸롱청와대차리는 게성공에더가까운발걸음아니냐???']"
39,이익,10,"['180석과문재인정권의다시올수 없는 시간과 동력을 사적이익과목적으로낭비해버렸다.', '질문있습니다nn1.중앙일보는 노동자안전보다 기업이익을 우선하는 언론집단인데요', '개인 이익과영달을버리고.그만하길.나이 차별하려는 게 아니라']"
40,즐겁다,9,"['감사감사드립니다n새날에서 감탄하고 시형상자에서 즐겁고 편안했습니다 물론선언시인내천느낌을 받았습니다 동학본향경주와농민혁명의 활동본거지전주와본인생활반경이 가까웠으리라 생각해봅니다', '김태현기자님화이팅n사랑스런귀욤이신유진n변호사님덕분에즐겁고 행복합니다 감사합니다.', '정말가슴뭉클한시간입니다.기쁘고아프고즐겁고 슬픈']"
41,영웅,9,"['윤봉길기념관은독재에저항이 아니라 일본의 불법식민지침탈에대한민족주의적인 저항을n기념하는 곳이다.n민족영웅을 팔아자신의 개인정치적 사익에이용하다니.', 'n윤주경의원 사무실에도통탄의전화했습니다.n윤봉길의사는윤주경개인할아버지가 아니라.국민의영웅독립투사이며n함부로 정치성도띄지말라고', '윤봉길의사는 독립영웅인데 그손녀는친일우파정권의 비례대표라는 현실어찌받아들여야 하노.하늘에계신선조가어떻게 보실지.']"
42,존중,9,"['사람을 중시하는 마음n130년 전동학농민항쟁의함성의중심사상임사람이 높은 곳있다는 말씀은인내천으로 이해하고 싶다 서로존중하자상대방을그런 모습을미애님한테발견할 수 있었다', '호박에줄긋는다고n수박되나?공은딲은대로 가고죄는진대로 간다.n헌재의모든 결정은 국민을 존중하고 민주주의꽃임을n말해줍니다.조만간수렁', '최소한의 의리도없는ㅜㅜn자기를 임명해서존중한인사권자를.막공격ㅜㅜㅜ']"
43,맛있다,9,"['버섯정말맛있겠네요저도하나주문해야겠어요유용한 영상감사합니다 김용민티비화이팅매출도화이팅', '참저여자열심히 하는 건좋은데오바좀하지 마라 아이고도대체맛있다를몇십번을하니아휴', '파파스머프참송이버섯먹어져야 합니다n그렇게맛있습니까?꼭한번 사서먹어야겠다']"
44,강하다,9,"['오로지문대통령님께의지해자강하지 못한 민주당n이해찬의원님n그립습니자', '추미애생각보다 내공이강하다.정책도 강하다.다시 보자.', '좀강하게 다죄를물어서 이런 일이 일어나지 않게합시다']"
45,부자,9,"['기재부진짜나쁘네요서민삶을전혀 모르네요카드가 없고못막아서카드결제가 안 되는 사라은이요?부자만더좋은 혜택으로 가네요?', '우리나라는담배술부가세등간접세가전체세금의반입니다.부자들만이 아니라 서민들도 국가에세금많이 내고 있는 것입니다.', '이맹박의다스가 많이 알려졌었지만 부동산부자만들어준다는 거짓말에그인간을뽑은국민들이라방심하면 안됨.']"
46,높이다,9,"['김건희를윤석열부인이라고 하는데.부인이라는 단어는남의아내를 높여부르는 말입니다.윤석열이아내를 높여불러줄필요가 있을까요?n그냥윤석열아내나처로부르면 좋을 것 같습니다.', '새날역시 오늘 토크가 좋네요 n본인을정치로 이끄신김대중대통령님닮아서일까n추장군님은그냥정치인이 아닌정말큰사람이군요n대의를품고사람을 높이는 세상을 만드실거라믿습니다', '이유 없이 확실한 이유가 있기에추미애가대통령이 되어야 한다n사람이 높은 사람을 높이는 세상을 위해 추미애가대통령이 되어야 한다']"
47,칭찬,8,"['에스케이에 사주딸이들어가고 그런 것보다 이게더불공정합니까?n그냥열심히 하게두면됩니다.n잘하면 잘한다 고 칭찬해주고못하면 그때비난해도 됩니다.', '이른판단은금물하도배신을당해봐서믿을구가없슴어떤 일을어떻게 처리하는 가보고서판단하든가칭찬하든가하겠슴', '조중동이문재인칭찬뉴스만썻으면n지지율70넘엇을텐데n가짜뉴스잘믿는엠팍20대 남자들도 지지하고']"
48,놀랍다,8,"['윤봉길기념관에서 일본비호발언으로n윤봉길의사를욕되게하면서n친일파임을자인한윤석열n푸나님의팩트폭격놀랍네요', '벌써2021년인데아직도 19560년대수법이통하는 대한민국놀랍다n조선dna는진화의속도가더디네', '윤봉길기념관에서 저런얘기를 해도 전혀놀랍지않은 이유가증손녀윤주경이국짐의원이기 때문이죠']"
49,신뢰,8,"['김엄마는 정상근기자가말하는 거랑완전다른 관점인듯요nn그리고점점개인적감정의 관점이 들어가는말투와비꼼에그동안 쌓여왓던신뢰가 무너져가는 기분에좀안타깝습니다', '우리나라언론의 자유가 세계top클라스다.n그런데언론의 신뢰성은바닥이란다.n무얼의미하는지 모르는 사람이 너무 많다.n그러니썩렬이가 아직건재한거지.', '법무부 장관때처음추미애영대님을알게 됐고 여성정치가로서의길도알게 됐네요.신뢰가가는 정치인입니다 화이팅입니다 이나 거니제께주세요']"
50,탕평,8,"['느껴지고 이해됩니다.탕평인사하려 한거맞을거예요.어쨌든그거야말로나이브한인식아래행한인사참사가맞죠.', '탕평으로 드러나게 되었으니.다음정권에서도꼭적폐들다감투쓰게한후제거합시다', '이재명지사님추미애장관님정권잡으시면탕평인사절대하지 마세요']"
51,아름답다,8,"['아름다운승복의모습을 리더가 보여주면나머진해결된다.', '가을처럼풍요롭고그저아름답고 사랑스러운 사람추미애', '유인태는와그라요?노병이아름다워야되는데n참안타캅다']"
